merchant_name,has_logo,impact,primary_category,secondary_category,other_categories,corrected_merchant_name,other_comments
Camicissima,no,,Shopping,,,,
Camomilla,no,,Shopping,,,,
Campagnolo,no,,Transport,,,,
Campari,yes,,Shopping,,,,
Canva,no,,Expenses,,,,
Capello Point,no,,Shopping,,Beauty,,
Carlo Pazolini,yes,,Shopping,,,,
Carpisa,yes,,Shopping,,,,
Carrefour,no,,Groceries,,,,
Carrera,no,,Shopping,,,,
Casadei,no,,Shopping,,,,
CFA Institute,yes,,Investments,,,,
Chicco,no,,Shopping,,,,
China Garden,no,,EatingOut,,,,
Cinti,yes,,Shopping,,,,
Cioccolati italiani,no,,Groceries,,,,
Cirque du Soleil,yes,,Leisure,,,,
Cisalfa,no,,Shopping,,,,
City Bar & Grill,yes,,EatingOut,,,,
Clayton,yes,,Shopping,,,,
cleverbridge,no,,Bills,,,,
Coccinelle,no,,Shopping,,,,
Codecasa,yes,,Transport,,,,
Coin,yes,,Shopping,,,,
Colmar,no,,Shopping,,,,
Colnago,no,,Transport,,,,
Colors&Beauty,no,,Shopping,,Beauty,,
Columbia,no,,Shopping,,,,
Comete gioielli,yes,,Shopping,,,,
Conad,yes,,Groceries,,,,
Conbipel,no,,Shopping,,,,
Conte of Florence,no,,Shopping,,,,
Contigo,yes,,Shopping,,,,
Coop,no,,Groceries,,,,
Coop Carate,no,,Groceries,,,,
Corneliani,yes,,Shopping,,,,
Corso Roma,no,,Shopping,,,,
Costa Crociere,yes,,Travel,,,,
Crai,no,,Groceries,,,,
Dainese,yes,,Shopping,,,,
Damiani,no,,Shopping,,,,
De fonseca,no,,Shopping,,,,
De Longhi,yes,,Shopping,,,,
Deborah,no,,Shopping,,Beauty,,
Despar,no,,Groceries,,,,
Diadora,no,,Shopping,,,,
Digital River,no,,Bills,,,,
Dimensione Danza,yes,,Shopping,,,,
Disneyland,no,,Leisure,,,,
Divani & Divani,no,,Shopping,,,,
Divarese,no,,Shopping,,,,
Dixie,no,,Shopping,,,,
Dodo,no,,Shopping,,,,
Dondup,yes,,Shopping,,,,
Doria,no,,Groceries,,,,
Dsquared,no,,Shopping,,,,
Ducati,no,,Transport,,,,
Dufry Mexico,no,,Shopping,,,,
Dyker Milano,yes,,Shopping,,,,
Eataly,no,,Groceries,,,,
eCompanyStore,yes,,Bills,,,,
Edison,yes,,Bills,Housing,Utilities,,
Edreams,no,,Travel,,,,
Elena Mirò,no,,Shopping,,,,
Elisabetta Franchi,no,,Shopping,,,,
Emporio Armani,yes,,Shopping,,,,
Enel,no,,Bills,Housing,Utilities,,
Enel Energia,no,,Bills,Housing,Utilities,,
Energia,no,,Bills,Housing,Utilities,,
Energrid,yes,,Bills,Housing,Utilities,,
Eni,yes,,Bills,Housing,Utilities,,
Enrico Coveri,no,,Shopping,,,,
Enrique Tomas,yes,,Groceries,,,,
Eon,no,,Bills,Housing,Utilities,,
Erboristerie d'Italia,no,,Groceries,,,,
Ermanno Scervino,no,,Shopping,,,,
Ermenegildo Zegna,no,,Shopping,,,,
Erreà,no,,Shopping,,,,
Esercito Italiano,no,,Other,,,,The Army
Esselunga,no,,Shopping,,,,
Etro,yes,,Shopping,,,,
