merchant_name,has_logo,impact,primary_category,secondary_category,other_categories,corrected_merchant_name,other_comments
Gloria Jeans Coffee,no,,Coffee,,,,
Godiva Chocolatier,no,,Groceries,,,,
Google Pay,no,,Shopping,,,,
Google Play,yes,,Bills,,,,
Groupon,yes,,Shopping,,,,
Guess,yes,,Shopping,,,,
H&M,yes,,Shopping,,,,
Heetch,yes,,Transport,,,,
Hema,yes,,Shopping,,,,
HMSHost,yes,,Transport,,,,
Holiday Inn,yes,,Travel,,,,
Holland & Barrett,no,,Shopping,,,,
Hollister,yes,,Shopping,,,,
Hyatt,yes,,Travel,,,,
IBM,yes,,Bills,,,,
Ikea,yes,,Shopping,Housing,,,
Illy,yes,,Coffee,,,,
Indigo,yes,,Travel,,,,
ING,yes,,Bills,,Internal,,
Inglot,no,,Shopping,,Beauty,,
Interflora,yes,,Shopping,,,,
Intersport,yes,,Shopping,,,,
Intesa Sanpaolo,no,,Bills,,Internal,,
Intimissimi,yes,,Shopping,,,,
Jack&Jones,no,,Shopping,,,,
Jimmy Choo,no,,Shopping,,,,
JPMorgan Chase & Co,no,,Bills,Investments,,,
JUMBO,yes,,Groceries,,,,
Just-Eat,yes,,EatingOut,,,,
KFC,yes,,EatingOut,,,,
Kiabi,yes,,Shopping,,,,
Kickstarter,yes,,Investments,,,,
Kiko Milano,yes,,Shopping,,,,
L'Occitane,yes,,Shopping,,Beauty,,
La Caixa,no,,Bills,,,,
Land Rover,yes,,Transport,,,,
Le Pain Quotidien,yes,,Lunch,,,,
Lee,yes,,Shopping,,,,
Legal and General,yes,,Bills,,Insurance,,
Lego Store,yes,,Shopping,,,,
Leroy Merlin,no,,Shopping,Housing,,,
Levi's,yes,,Shopping,,,,
Lidl,yes,,Groceries,,,,
LINKEDIN,yes,,Bills,,,,
Littlewoods,yes,,Shopping,,,,
Lloyds,yes,,Bills,,Internal,,
Lotto,yes,,Expenses,Investments,Gambling,,
Lush,yes,,Shopping,,Beauty,,
Lufthansa,yes,,Travel,,,,
Lydia App,no,,Bills,,,,
Mac,yes,,Shopping,,Beauty,,
Macy's,yes,,Shopping,,,,
Mango,yes,,Shopping,,,,
Marks & Spencer,yes,,Groceries,Shopping,,,
Marriott,yes,,Travel,,,,
Massimo Dutti,yes,,Shopping,,,,
MasterCard,yes,,Bills,,Internal,,
McDonald's,yes,,EatingOut,,,,
Mediobanca,yes,,Bills,,Internal,,
Mediolanum,yes,,Bills,,Internal,,
Microsoft,yes,,Bills,Shopping,,,
Moleskine,yes,,Shopping,,,,
Monop,no,,Shopping,,,,
Monte dei Paschi di Siena,no,,Bills,,Internal,,
Muji,yes,,Shopping,,,,
Mulberry,no,,Shopping,,,,
myCicero,no,,Transport,,,,
mytaxi,yes,,Transport,,,,
Nescafe Dolce Gusto,no,,Coffee,Shopping,,,
Nespresso,yes,,Coffee,Shopping,,,
Net A Porter,yes,,Shopping,,,,
Netflix,yes,,Bills,,,,
New Balance,no,,Shopping,,,,
New Look,yes,,Shopping,,,,
Nexi,no,,Bills,,Internal,,
Next,yes,,Shopping,,,,
Nike,yes,,Shopping,,,,
Nintendo,yes,,Shopping,Leisure,Gaming,,
Norwegian Air,no,,Travel,,,,
Okaidi,yes,,Shopping,,,,
Opodo,yes,,Travel,,,,
Oracle,yes,,Bills,,,,
Oxfam,yes,,Charity,,,,
Pandora,yes,,Shopping,,,,
Papa Johns Pizza,yes,,EatingOut,,,,
Parkmobile's,yes,,Transport,,,Parkmobile,
Pathe,yes,,Leisure,,,,
Paul,yes,,Coffee,Lunch,,,
PayPal,yes,,Bills,Shopping,,,
PhotoBox,yes,,Shopping,,,,
Pimkie,yes,,Shopping,,,,
Pizza Hut,yes,,EatingOut,,,,
PlayStation Network,yes,,Leisure,Shopping,Gaming,,
PokerStars,yes,,Expenses,,Gambling,,
Poltrone&Sofà,no,,Shopping,,,,
Pret A Manger,yes,,Coffee,Lunch,,,
Primark,yes,,Shopping,,,,
Promod,yes,,Shopping,,,,
Pull & Bear,yes,,Shopping,,,,
Q-Park,yes,,Transport,,,,
Qatar Airways,no,,Travel,,,,
Ratp,yes,,Transport,,,,
Redoute,yes,,Shopping,,,,
Reebok,no,,Shopping,,,,
Relay,yes,,Shopping,,,,
Rentalcars.com,yes,,Transport,,,,
Resident Advisor,yes,,Bills,,Music,,
Revolut,yes,,Bills,,Internal,,
Rimmel,no,,Shopping,,Beauty,,
River Island,yes,,Shopping,,,,
Ryanair,yes,,Travel,,,,
Sainsbury's,yes,,Groceries,,,,
Santander,yes,,Bills,,Internal,,
Save the Children,yes,,Charity,,,,
Sephora,yes,,Shopping,,Beauty,,
Shell,yes,,Transport,,,,
Sky,yes,,Bills,,,,
Skype,no,,Bills,,,,
Sncf,yes,,Transport,,,,
Sodexo,yes,,Bills,,,,
SPAR,yes,,Groceries,,,,
Spotify,yes,,Bills,,Music,,
Starbucks,yes,,Coffee,,,,
Stradivarius,yes,,Shopping,,,,
Subway,yes,,EatingOut,,,,
Swarovski,yes,,Shopping,,,,
Swatch,yes,,Shopping,,,,
Taco Bell,yes,,EatingOut,,,,
Tamoil,yes,,Bills,Housing,Utilities,,
Taxify,no,,Transport,,,,
Ted Baker,yes,,Shopping,,,,
Tesco,yes,,Groceries,,,,
Texaco,yes,,Transport,,,,
Tezenis,yes,,Shopping,,,,
The Body Shop,yes,,Shopping,,Beauty,,
Tiffany & Co,yes,,Shopping,,,,
Tiger,yes,,Shopping,,,,
Timberland,yes,,Shopping,,,,
Tissot,no,,Shopping,,,,
Tod's,no,,Shopping,,,,
Topman,yes,,Shopping,,,,
Topshop,yes,,Shopping,,,,
Total,yes,,Transport,,,,
Toyota,yes,,Transport,,,,
Trainline,yes,,Transport,,,,
TransferWise,yes,,Bills,,,,
Treatwell,yes,,Shopping,,Beauty,,
Uber,yes,,Transport,,,,
Ubi Banca,yes,,Bills,,Internal,,
UNICEF,yes,,Transport,,,,
Unicredit,yes,,Bills,,,,
Uniqlo,yes,,Shopping,,,,
UPC,no,,,,,,
UPIM,yes,,Shopping,,,,
Vans,yes,,Shopping,,,,
Vente Privee,no,,Shopping,,,,
Virgin Megastores,no,,Shopping,,,,
visa,no,,Bills,,Internal,,
Vistaprint,yes,,Expenses,,,,
Vodafone,yes,,Bills,,,,
Volkswagen Financial Services,yes,,Transport,,,,
wagamama,yes,,EatingOut,,,,
William Hill,yes,,Expenses,,Gambling,,
Wish,yes,,Shopping,,,,
Wix.com,yes,,Expenses,,,,
