merchant_name,has_logo,impact,primary_category,secondary_category,other_categories,corrected_merchant_name,other_comments
Europasat,yes,,Bills,Housing,Utilities,,
Feu Vert,yes,,Transport,,,,
Flunch,yes,,EatingOut,,,,
Fnac,yes,,Shopping,,,,
Foncia,no,,Housing,,,,
Franck Provost,yes,,Shopping,,,,
Franprix,yes,,Groceries,,,,
Free Mobile,yes,,Bills,,,,
G20,no,,Groceries,,,,
Gazissimo,yes,,Bills,Housing,Utilities,,
Geant,no,,Bills,,,,
Gemo,no,,Shopping,,,,
Generale d'Optique,yes,,PersonalCare,,,,
Gifi,yes,,Shopping,,,,
Go Sport,yes,,Shopping,,,,
Grand Frais,yes,,Groceries,,,,
Grande Pharmacie,no,,PersonalCare,,,,
Harcourt,no,,Other,,,,
Hippopotamus,no,,EatingOut,,,,
Howard Johnson,no,,Travel,,,,
Hyper U,no,,Groceries,,,,
Idtgv,yes,,Transport,,,,
Ikks,no,,Shopping,,,,
ilek,no,,Bills,Housing,Utilities,,
Imaginarium,yes,,Shopping,,,,
Intermarche,no,,Groceries,,,,
Izac,yes,,Shopping,,,,
Jacadi,no,,Shopping,,,,
Jeff De Bruges,yes,,Groceries,,,,
Kaporal,yes,,Shopping,,,,
Keolis,yes,,Transport,,,,
Kusmi Tea,no,,Groceries,,,,
L'Adresse,no,,Housing,,,,
L'Or et Vous,no,,Shopping,,,,
L'Orange Bleue,no,,PersonalCare,,Gym,,
La Boutique du Coiffeur,no,,Shopping,,,,
La Chaise Longue,no,,Shopping,,,,
La Croissanterie,no,,Lunch,,,,
La Grande Recre,yes,,Leisure,,,,
La Halle,yes,,Shopping,,,,
La Mie Caline,yes,,EatingOut,,,,
La Pataterie,yes,,EatingOut,,,,
La Poste,no,,Bills,,,,
Lafayette,yes,,Shopping,,,,
Ldlc,yes,,Leisure,,Gaming,,
Le Bon Marche,no,,Groceries,,,,
Le Comptoir de Mathilde,no,,Groceries,,,,
Le Furet Du Nord,no,,Shopping,,,,
Le Salon K,no,,PersonalCare,,Beauty,,
Le Temps des Cerises,yes,,Shopping,,,,
Leader Price,yes,,Groceries,,,,
Leclerc,yes,,Groceries,,,,
Leetchi,yes,,Charity,,,,
Leonidas,no,,Groceries,,,,
Les Petites Canailles,no,,Bills,,,,
Louis Pion,no,,Shopping,,,,
Mail Boxes Etc.,yes,,Expenses,,,,
Marc Orian,yes,,Shopping,,,,
Marche Plus,yes,,Groceries,,,,
Match,no,,Leisure,,,,
Mauboussin,no,,Shopping,,,,
Menstore,no,,Shopping,,,,
Minelli,no,,Shopping,,,,
Mistigriff,no,,Shopping,,,,
Mondial Relay,no,,Expenses,,,,
Monoprix,no,,Groceries,,,,
My Little Paris,yes,,EatingOut,,,,
Naturalia,no,,Shopping,,,,
Naturhouse,no,,EatingOut,,,,
Newrest wagons-lits,yes,,Transport,,,,
Nocibe,yes,,Shopping,,,,
Norauto,no,,Transport,,,,
Nordnet,yes,,Investments,,,,
Noz,no,,Expenses,,,,
Numericable,no,,Bills,Housing,Utilities,,
Office Depot,no,,Shopping,,,,
Oney,yes,,Bills,,Internal,,
Ooshop,yes,,Shopping,,,,
Orange,yes,,Bills,,,,
Orchestra,yes,,Shopping,,,,
Oscaro,yes,,Shopping,,,,
Ouibus,yes,,Transport,,,,
Ouigo,yes,,Transport,,,,
Ovh,yes,,Bills,,,,
Oxybul,yes,,Shopping,,,,
Parashop,yes,,Shopping,,,,
Phildar,yes,,Shopping,,,,
Picard,no,,Groceries,,,,
Planète Oui,no,,Bills,Housing,Utilities,,
Point S,no,,Transport,,,,
Pomme de Pain,yes,,Lunch,,,,
Poulaillon,no,,EatingOut,,,,
Printemps,no,,Shopping,,,,
Proxelia,no,,Bills,Housing,Utilities,,
Punto Simply,yes,,Groceries,,,,
Quick,no,,EatingOut,,,,
Ramada,no,,Travel,,,,
RENO,no,,Housing,,,,
Rougegorge,yes,,Shopping,,,,
Rtm,no,,Transport,,,,
Rue Du Commerce,yes,,Shopping,,,,
S-money,yes,,Bills,,,,
Sabon,yes,,Shopping,,,,
Saint Algue,no,,PersonalCare,,Beauty,,
Salamander,yes,,Shopping,,,,
Salsa,no,,Bills,,,,
Sanef,yes,,Transport,,,,
Sapn,yes,,Transport,,,,
Sarenza,yes,,Shopping,,,,
Schmidt,no,,Housing,,,,
Seve,yes,,Charity,,,,
Sfr,no,,Transport,,,,
Showroomprive,yes,,Shopping,,,,
Simply Market,no,,Groceries,,,,
Sinequanone,yes,,Shopping,,,,
Stagecoach,no,,Transport,,,,
Starfolies,yes,,Shopping,,,,
Stokomani,yes,,Shopping,,,,
Super U,no,,Groceries,,,,
Supercuts,yes,,PersonalCare,,,,
Sushi Shop,no,,EatingOut,,,,
Take Eat Easy,yes,,Lunch,,,,
Tamaris,no,,Shopping,,,,
Taxis-g7,no,,Transport,,,,
Tempka,no,,Shopping,,,,
Thomas Sabo,no,,Shopping,,,,
Thrifty,yes,,Transport,,,,
Toscane,no,,Shopping,,,,
U Express,yes,,Groceries,,,,
Ugc,yes,,Leisure,,,,
Undiz,no,,Shopping,,,,
Valenti,yes,,,,,,
Vertbaudet,no,,Shopping,,,,
VidéoFutur,no,,Bills,Housing,Utilities,,
Villeroy & Boch,no,,Housing,,,,
Vincipark,no,,Transport,,,,
Virgin Atlantic,yes,,Travel,,,,
Vival,yes,,Groceries,,,,
Weezevent,yes,,Leisure,,,,
Weldom,no,,Shopping,,,,
Woko,yes,,EatingOut,,,,
Zeturf,yes,,Expenses,,Gambling,,
Zodio,yes,,Shopping,,,,
Zumo,no,,Lunch,,,,
Goldoni,no,,Transport,,,,
Gotelli,yes,,Shopping,,,,
Grandvision,no,,PersonalCare,,,,
Green Network,no,,Bills,Housing,Utilities,,
Grillo Sport,no,,Shopping,,,,
Grom,no,,Groceries,,,,
Groupalia,no,,Travel,,,,
Gucci,yes,,Shopping,,,,
Happiness,no,,Shopping,,,,
Harmont&Bleine,no,,Shopping,,,,
Hera Comm,no,,Bills,Housing,Utilities,,Duplicate of 313
Hera Group,yes,,Bills,Housing,Utilities,,
Hoepli,yes,,Shopping,,,,
Hogan,no,,Shopping,,,,
Hotel Aurora,no,,Travel,,,,
Huel,no,,PersonalCare,,,,
I grandi viaggi,no,,Travel,,,,
IDrive,no,,Expenses,,,,
Il Laccio,no,,Shopping,,,,
Il Lanificio,no,,Shopping,,,,
Iliad Italia,yes,,Bills,Housing,Utilities,,
Imperial,no,,Shopping,,,,
Indesit,yes,,Housing,Shopping,,,
Indiegogo,no,,Investments,,,,
Innocenti,no,,Transport,,,,
Invicta,no,,Shopping,,,,
Invidiauomo,yes,,Shopping,,,,
IP,yes,,Transport,,,,
Iper,no,,Groceries,,,,
Iper Station,no,,Transport,,,,
Iperal,yes,,Groceries,,,,
Ipercoop,no,,Groceries,,,,
Jeckerson,no,,Shopping,,,,
Jiffy,no,,Bills,,,,
K-way,no,,Shopping,,,,
Kaidor,no,,Shopping,,,,
Kanada Ya,no,,EatingOut,,,,
Kappa,no,,Shopping,,,,
Kartell,yes,,Shopping,,,,
Kasanova,no,,Shopping,,,,
Kauppa,yes,,Leisure,,,,
Keropetrol,no,,Transport,,,,
Kinkao,no,,,,,,
Kokka,no,,Shopping,,,,
Krizia,no,,Shopping,,,,
L'erbolario,no,,Shopping,,,,
L'isola verde,no,,Leisure,,,,
La bottega del caffe,yes,,Coffee,,,,
La Gardenia,yes,,Shopping,,,,
La Perla,no,,Shopping,,,,
La Piadineria,no,,Lunch,,,,
La Piccola Dely,no,,EatingOut,,,,
La Sportiva,no,,Shopping,,,,
Lagostina,no,,Shopping,,,,
Lama optical,no,,PersonalCare,,,,
Lamborghini,no,,Transport,,,,
Landi Renzo,no,,Transport,,,,
Landini,no,,Transport,,,,
Langham Hotel,no,,Travel,,,,
Lanieri,no,,Shopping,,,,
Laura Biagiotti,yes,,Shopping,,,,
Lavazza,no,,Coffee,,,,
Lazzaroni,no,,Groceries,,,,
Legami,no,,Shopping,,Stationary,,
Legea,yes,,Shopping,,,,
Limoni,yes,,Travel,,,,
Lindt,yes,,Groceries,,,,
Liu Jo,no,,Shopping,,,,
Liviana Conti,yes,,Shopping,,,,
Loacker,no,,Groceries,,,,
Loriblu,no,,Shopping,,,,
Loro Piana,no,,Shopping,,,,
Lovable,no,,Shopping,,,,
Lucchini RS,no,,Transport,,,,
Luisa Spagnoli,no,,Shopping,,,,
Luxottica,no,,PersonalCare,,,,
Macron,no,,Shopping,,,,
Maggiora,no,,Transport,,,,
Magneti Marelli,no,,Transport,,,,
Maire Tecnimont,no,,Bills,Housing,Utilities,,
Malaguti,no,,Transport,,,,
Malìparmi,no,,Shopping,,,,
Mandarina Duck,no,,Shopping,,,,
Mangano,no,,Shopping,,,,
MangoPay,no,,Bills,,,,
Marella,no,,Shopping,,,,
Marina Rinaldi,no,,Shopping,,,,
Marni,yes,,Shopping,,,,
Martini,no,,Drinks,,,,
Martino Midali,no,,Shopping,,,,
Marville,no,,Shopping,,,,
Maserati,no,,Transport,,,,
Match Point,no,,Expenses,,Gambling,,
Max Mara,yes,,Shopping,,,,
Maxi Sport,no,,Shopping,,,,
McAfee,no,,Expenses,,,,
MCS,yes,,Housing,,,,
Mediaset,yes,,Bills,Leisure,,,
Mediaworld,no,,Shopping,,,,
Melegatti,no,,Groceries,,,,
Melluso,no,,Shopping,,,,
Mercantile Hotel,no,,Travel,,,,
Mercatone uno,no,,Shopping,,,,
Messagenet,no,,Bills,,,,
MFM Investment Ltd,yes,,Investments,,,,
Miche,no,,Shopping,,,,
Miriade,no,,Shopping,,,,
Miss Sixty,no,,Shopping,,,,
Missoni,no,,Shopping,,,,
Miu Miu,no,,Shopping,,,,
Mixerì,no,,Shopping,,,,
Modus profumerie,yes,,Shopping,,,,
ModusLink,no,,Bills,,,,
Momo,yes,,Transport,,,,
Moncler,yes,,Shopping,,,,
Mondadori,yes,,Bills,,,,
Mondial,yes,,Transport,,,,
Mondo Convenienza,no,,Shopping,,,,
MoneyMap,yes,,Bills,,,,
Montegrappa,no,,Shopping,,,,
Mood 54,no,,Shopping,,,,
Moreschi,yes,,Shopping,,,,
Morningstar,no,,Investments,,,,
Moschino,yes,,Shopping,,,,
Motivi,yes,,Shopping,,,,
Motta,no,,,,,,
MPreis,no,,Groceries,,,,
Mr & Mrs Italy,no,,Shopping,,,,
Mulino Bianco,no,,Groceries,,,,
Mumble Mumble,no,,Shopping,,,,
MV Agusta,no,,Transport,,,,
Nanarossa,yes,,Shopping,,,,
Napapijri,no,,Shopping,,,,
Naracamicie,no,,Shopping,,,,
Natuzzi,no,,Shopping,,,,
Nau!,no,,Shopping,,,,
Navigare,no,,Shopping,,,,
Neos,no,,Bills,,Insurance,,
Nero Giardini,no,,Shopping,,,,
Nolan,no,,Shopping,,,,
Nordica,yes,,Shopping,,,,
NS International,no,,Transport,,,,
Nuvolari,yes,,Shopping,,,,
Nyx,no,,Shopping,,Beauty,,
Obag,yes,,Shopping,,,,
Oddbins,yes,,Drinks,,,,
Old Wild West,no,,EatingOut,,,,
Olivetti,yes,,Shopping,,,,
Oltre,no,,Shopping,,,,
Optiontown,no,,Travel,,,,
Oregon,yes,,,,,,
Original Marines,no,,Shopping,,,,
Oroblu,no,,Shopping,,,,
OSCA,yes,,Shopping,,,,
OVS,yes,,Shopping,,,,
Oysho,yes,,Shopping,,,,
