0742;Pets
0763;Housing
0780;Housing
1520;Housing
1711;Housing
1731;Housing
1740;Housing
1750;Housing
1761;Housing
1771;Housing
1799;Housing
2741;Expenses
2791;Expenses
2842;Housing
3000;Travel
3001;Travel
3002;Travel
3003;Travel
3004;Travel
3005;Travel
3006;Travel
3007;Travel
3008;Travel
3009;Travel
3010;Travel
3011;Travel
3012;Travel
3013;Travel
3014;Travel
3015;Travel
3016;Travel
3017;Travel
3018;Travel
3019;Travel
3020;Travel
3021;Travel
3022;Travel
3023;Travel
3024;Travel
3025;Travel
3026;Travel
3027;Travel
3028;Travel
3029;Travel
3030;Travel
3031;Travel
3032;Travel
3033;Travel
3034;Travel
3035;Travel
3036;Travel
3037;Travel
3038;Travel
3039;Travel
3040;Travel
3041;Travel
3042;Travel
3043;Travel
3044;Travel
3045;Travel
3046;Travel
3047;Travel
3048;Travel
3049;Travel
3050;Travel
3051;Travel
3052;Travel
3053;Travel
3054;Travel
3055;Travel
3056;Travel
3057;Travel
3058;Travel
3059;Travel
3060;Travel
3061;Travel
3062;Travel
3063;Travel
3064;Travel
3065;Travel
3066;Travel
3067;Travel
3068;Travel
3069;Travel
3070;Travel
3071;Travel
3072;Travel
3073;Travel
3074;Travel
3075;Travel
3076;Travel
3077;Travel
3078;Travel
3079;Travel
3080;Travel
3081;Travel
3082;Travel
3083;Travel
3084;Travel
3085;Travel
3086;Travel
3087;Travel
3088;Travel
3089;Travel
3090;Travel
3091;Travel
3092;Travel
3093;Travel
3094;Travel
3095;Travel
3096;Travel
3097;Travel
3098;Travel
3099;Travel
3100;Travel
3101;Travel
3102;Travel
3103;Travel
3104;Travel
3105;Travel
3106;Travel
3107;Travel
3108;Travel
3109;Travel
3110;Travel
3111;Travel
3112;Travel
3113;Travel
3114;Travel
3115;Travel
3116;Travel
3117;Travel
3118;Travel
3119;Travel
3120;Travel
3121;Travel
3122;Travel
3123;Travel
3124;Travel
3125;Travel
3126;Travel
3127;Travel
3128;Travel
3129;Travel
3130;Travel
3131;Travel
3132;Travel
3133;Travel
3134;Travel
3135;Travel
3136;Travel
3137;Travel
3138;Travel
3139;Travel
3140;Travel
3141;Travel
3142;Travel
3143;Travel
3144;Travel
3145;Travel
3146;Travel
3147;Travel
3148;Travel
3149;Travel
3150;Travel
3151;Travel
3152;Travel
3153;Travel
3154;Travel
3155;Travel
3156;Travel
3157;Travel
3158;Travel
3159;Travel
3160;Travel
3161;Travel
3162;Travel
3163;Travel
3164;Travel
3165;Travel
3166;Travel
3167;Travel
3168;Travel
3169;Travel
3170;Travel
3171;Travel
3172;Travel
3173;Travel
3174;Travel
3175;Travel
3176;Travel
3177;Travel
3178;Travel
3179;Travel
3180;Travel
3181;Travel
3182;Travel
3183;Travel
3184;Travel
3185;Travel
3186;Travel
3187;Travel
3188;Travel
3189;Travel
3190;Travel
3191;Travel
3192;Travel
3193;Travel
3194;Travel
3195;Travel
3196;Travel
3197;Travel
3198;Travel
3199;Travel
3200;Travel
3201;Travel
3202;Travel
3203;Travel
3204;Travel
3205;Travel
3206;Travel
3207;Travel
3208;Travel
3209;Travel
3210;Travel
3211;Travel
3212;Travel
